Statuspassage „Leaving Care“:	107.76000213623047	182.27911376953125	16.02001953125	226.80155181884766	0
Biografische Herausforderungen	107.76000213623047	200.27911376953125	16.02001953125	242.8167495727539	0
nach der Heimerziehung	107.76000213623047	218.27911376953125	16.02001953125	184.0842056274414	0
Stefan Köngeter, Wolfgang Schröer,	107.76000213623047	248.5272216796875	12.0	203.41199493408203	1
Maren Zeller	107.76000213623047	262.50732421875	12.0	71.4000015258789	1
Zusammenfassung	107.76000213623047	346.6891784667969	9.0	71.75720977783203	2
Die aktuelle internationale Forschung zum Übergang von jungen Menschen	107.760009765625	356.38616943359375	9.0	274.92578125	2
aus den stationären Erziehungshilfen ins Erwachsenenleben zeigt, dass die-	107.760009765625	366.4056701660156	9.0	274.9530029296875	2
se sogenannten Careleavers in vielerlei Hinsicht gegenüber ihren gleichalt-	107.760009765625	376.4255676269531	9.0	275.0113220214844	2
rigen Peers benachteiligt sind. Insbesondere können sie, um diesen Über-	107.760009765625	386.445068359375	9.0	274.96923828125	2
gang zu bewältigen, auf vergleichsweise wenige Unterstützungsressourcen	107.760009765625	396.4649658203125	9.0	275.00341796875	2
zurückgreifen. Der Übergang ins Erwachsenenleben ist in den letzten Jah-	107.760009765625	406.48406982421875	9.0	274.9751892089844	2
ren in Deutschland zwar vielfach untersucht und die Entstehung einer Le-	107.75999450683594	416.50396728515625	9.0	275.02772521972656	2
bensphase des jungen Erwachsenenalters mit seinen vielfältigen und kom-	107.76000213623047	426.5234680175781	9.0	274.99625396728516	2
plexen Herausforderungen beschrieben worden. Es fehlen jedoch bislang	107.75999450683594	436.5433654785156	9.0	274.9834747314453	2
entsprechende Studien zur besonderen Situation der Gruppe von Carelea-	107.75997924804688	446.5628662109375	9.0	274.99066162109375	2
vers und den strukturellen Bedingungen, unter denen der Übergang ins Er-	107.75997924804688	456.582763671875	9.0	274.941650390625	2
wachsenenleben für Careleavers stattfindet. In diesem Beitrag werden daher	107.75999450683594	466.6022644042969	9.0	275.05650329589844	2
erstens die vorliegenden Daten und Studien zu Careleavers in Deutschland	107.75999450683594	476.6221618652344	9.0	274.9514923095703	2
daraufhin befragt, welche Aussagen diese über diese Statuspassage treffen	107.75999450683594	486.64166259765625	9.0	274.9986114501953	2
können. Zweitens werden anhand zweier eigener Studien Hinweise auf die	107.76060485839844	496.6611633300781	9.0	274.99778747558594	2
strukturellen Bedingungen dieser Statuspassage Leaving Care gegeben.	107.76060485839844	506.6810302734375	9.0	257.90040588378906	2
Schlagworte: Übergänge, Kinder- und Jugendhilfe, Heimerziehung, Status-	107.76060485839844	526.720458984375	9.2823486328125	274.98133850097656	3
passage	107.76078796386719	536.739990234375	9.0	28.016998291015625	3
Status Passage: Leaving Care – Biographical Challenges after Leaving	107.76078796386719	557.0621337890625	9.0	274.93861389160156	4
Residential Care	107.76078796386719	567.08203125	9.0	60.90570068359375	4
Schwerpunkt	392.1000061035156	115.318115234375	13.97998046875	95.39950561523438	5
Stefan Köngeter	391.26019287109375	297.32177734375	7.97998046875	55.2255859375	6
Wolfgang Schröer	391.26007080078125	445.0425109863281	7.980010986328125	61.564117431640625	7
