FORUM: QUALITATIVE	143.89999389648438	50.71087646484375	12.79998779296875	134.54452514648438	0	EAAAAA+ZurichBT-Bold
S OC I A L R E S E A R C H	143.89999389648438	62.31085205078125	12.79998779296875	134.41513061523438	0	EAAAAA+ZurichBT-Bold
SOZIALFORSCHUNG	143.89999389648438	74.0108642578125	12.79998779296875	134.44107055664062	0	EAAAAA+ZurichBT-Bold
Thomas Hillman	144.6999969482422	146.49591064453125	11.0	79.37596130371094	1	CAAAAA+Arial-ItalicMT
A Geography of Connections: Networks of Humans and Materials	144.6999969482422	103.5367431640625	12.0	372.37220764160156	2	BAAAAA+Arial-BoldMT
in Mathematics Classrooms Using Handheld Technology	144.6999969482422	117.73675537109375	12.0	324.09617614746094	2	BAAAAA+Arial-BoldMT
Volume 13, No. 1, Art. 12	412.29998779296875	52.29248046875	9.0	101.6080322265625	3	DAAAAA+ArialMT
January 2012	412.29998779296875	62.1925048828125	9.0	54.71099853515625	3	DAAAAA+ArialMT
Key words:	51.099998474121094	176.29248046875	9.23504638671875	47.89299774169922	4	BAAAAA+Arial-BoldMT
mathematics	51.099998474121094	190.39251708984375	9.0	51.26399230957031	4	DAAAAA+ArialMT
education;	51.099998474121094	204.592529296875	9.0	41.78699493408203	4	DAAAAA+ArialMT
technology; actor-	51.099998474121094	218.6925048828125	9.0	71.86497497558594	4	DAAAAA+ArialMT
network theory;	51.099998474121094	232.89251708984375	9.0	61.469993591308594	4	DAAAAA+ArialMT
materiality;	51.099998474121094	246.99249267578125	9.0	43.55998992919922	4	DAAAAA+ArialMT
learning;	51.099998474121094	261.1925048828125	9.0	34.68598175048828	4	DAAAAA+ArialMT
interviews; video-	51.099998474121094	275.29248046875	9.0	69.56999969482422	4	DAAAAA+ArialMT
recorded	51.099998474121094	289.49249267578125	9.0	35.60399627685547	4	DAAAAA+ArialMT
observation;	51.099998474121094	303.592529296875	9.0	49.18498992919922	4	DAAAAA+ArialMT
interaction	51.099998474121094	317.79248046875	9.0	41.777992248535156	4	DAAAAA+ArialMT
analysis; activity	51.099998474121094	331.8924865722656	9.0	65.34898376464844	4	DAAAAA+ArialMT
theory	51.099998474121094	346.09246826171875	9.0	25.091995239257812	4	DAAAAA+ArialMT
Abstract: This article examines the role of materials in education by investigating the inclusion of a	144.6999969482422	176.29248046875	9.23504638671875	395.3839874267578	5	BAAAAA+Arial-BoldMT
handheld digital technology in mathematics classrooms. By drawing on activity theory to	144.6999969482422	190.39251708984375	9.0	351.6659698486328	5	DAAAAA+ArialMT
conceptualize learning with technology and Actor-Network theory to understand the relationships	144.6999969482422	204.592529296875	9.0	386.06398010253906	5	DAAAAA+ArialMT
between materials and humans, the use of educational technology in two secondary school	144.6999969482422	218.6925048828125	9.0	364.79698181152344	5	DAAAAA+ArialMT
mathematics classrooms is investigated. Drawing on interviews and video-recorded classroom	144.6999969482422	232.89251708984375	9.0	377.1629180908203	5	DAAAAA+ArialMT
observation, this investigation maps the patterns of relations among humans and materials as	144.6999969482422	246.99249267578125	9.0	374.75086975097656	5	DAAAAA+ArialMT
classroom socio-technical networks adapt to the inclusion of a handheld digital technology. The	144.6999969482422	261.1925048828125	9.0	381.26698303222656	5	DAAAAA+ArialMT
results present a variety of ways that the human and material actors in classroom socio-technical	144.6999969482422	275.29248046875	9.0	387.55799865722656	5	DAAAAA+ArialMT
networks operate as an interconnected whole rather than as a set of individual interactions.	144.6999969482422	289.49249267578125	9.0	364.2659454345703	5	DAAAAA+ArialMT
Table of Contents	144.6999969482422	318.02752685546875	9.0	76.11299133300781	6	BAAAAA+Arial-BoldMT
1. Introduction	144.6999969482422	346.09246826171875	9.0	57.26097106933594	7	DAAAAA+ArialMT
2. Understanding the Role of Materials in Mathematics Classrooms	144.6999969482422	363.29248046875	9.0	267.79786682128906	8	DAAAAA+ArialMT
3. Theoretical Perspective	144.6999969482422	380.59246826171875	9.0	104.43898010253906	9	DAAAAA+ArialMT
4. Method	144.6999969482422	397.79248046875	9.0	39.89100646972656	10	DAAAAA+ArialMT
5. Findings	144.6999969482422	415.09246826171875	9.0	44.17498779296875	11	DAAAAA+ArialMT
5.1 Locations of mathematical authority	154.60000610351562	432.29248046875	9.0	157.59896850585938	12	DAAAAA+ArialMT
5.2 Locations of mathematical tasks	154.60000610351562	449.59246826171875	9.0	144.09896850585938	13	DAAAAA+ArialMT
5.3 Locations of mathematical activity	154.60000610351562	466.79248046875	9.0	150.59698486328125	14	DAAAAA+ArialMT
6. Discussion	144.6999969482422	484.09246826171875	9.0	53.76898193359375	15	DAAAAA+ArialMT
References	144.6999969482422	501.29248046875	9.0	46.0889892578125	16	DAAAAA+ArialMT
Author	144.6999969482422	518.5924682617188	9.0	26.495986938476562	17	DAAAAA+ArialMT
Citation	144.6999969482422	535.79248046875	9.0	30.491989135742188	18	DAAAAA+ArialMT
1. Introduction	144.6999969482422	562.13671875	12.0	83.13603210449219	19	BAAAAA+Arial-BoldMT
In the field of educational research, the dominant discourse is squarely focused	144.6999969482422	590.8796997070312	11.0	386.72718811035156	20	DAAAAA+ArialMT
on the practices of humans such as teachers and students (SØRENSON, 2007).	144.6999969482422	605.0797119140625	11.0	392.84327697753906	20	DAAAAA+ArialMT
This makes a great deal of sense since education is primarily concerned with	144.6999969482422	619.1796875	11.0	375.37501525878906	20	DAAAAA+ArialMT
human learning. In some cases, however, this focus on human practices may	144.6999969482422	633.3796997070312	11.0	377.4871368408203	20	DAAAAA+ArialMT
mask the roles that materials play and furthermore limit the richness of	144.6999969482422	647.479736328125	11.0	343.8490447998047	20	DAAAAA+ArialMT
understanding concerning learning situations (SHAFFER & CLINTON, 2006). In	144.6999969482422	661.6796875	11.0	388.9379425048828	20	DAAAAA+ArialMT
mathematics education, for example, some researchers have gone as far as to	144.6999969482422	675.7797241210938	11.0	384.53810119628906	20	DAAAAA+ArialMT
suggest that the intrinsic characteristics of educational technologies cease to	144.6999969482422	689.979736328125	11.0	374.6161651611328	20	DAAAAA+ArialMT
mediate learning and become increasingly transparent as learners' incorporate	144.6999969482422	704.0797119140625	11.0	383.51515197753906	20	DAAAAA+ArialMT
them in their mathematical activities (MEIRA, 1998). Such approaches privilege	144.6999969482422	718.2797241210938	11.000007629394531	386.5070343017578	20	DAAAAA+ArialMT
the role of humans to the point of obscuring important aspects of the meditational	144.6999969482422	732.3796997070312	11.0	396.50636291503906	20	DAAAAA+ArialMT
role that materials have in mathematics learning and any intrinsic educational	144.6999969482422	746.5797119140625	11.000007629394531	376.26612854003906	20	DAAAAA+ArialMT
value they might have (SHAFFER & CLINTON, 2005, 2006). [1]	144.6999969482422	760.6796875	11.0	310.94700622558594	20	DAAAAA+ArialMT
© 2011 FQS http://www.qualitative-research.net/	144.6999969482422	797.5488891601562	8.0	171.8959503173828	21	DAAAAA+ArialMT
