Asyl im Kalten Krieg –	37.85049819946289	73.906982421875	18.0	169.90739059448242	0
Eine Parallelgeschichte aus dem geteilten	37.85049819946289	92.90777587890625	18.0	321.96059799194336	0
Nachkriegsdeutschland	37.85049819946289	111.9085693359375	18.0	180.8100242614746	0
Patrice G. Poutrus	37.85049819946289	142.77484130859375	11.999969482421875	90.92161178588867	1
Dr. Patrice Poutrus, geb.	126.92659759521484	178.85137939453125	8.0	79.5072250366211	2
1961, wissenschaftlicher	126.92659759521484	187.85137939453125	8.0	78.19437408447266	2
Mitarbeiter am Zentrum	126.92659759521484	196.85137939453125	8.0	79.56879425048828	2
für Zeithistorische For-	126.92659759521484	205.85137939453125	8.0	74.57120513916016	2
schung in Potsdam (An-	126.92659759521484	214.85137939453125	8.0	76.4303970336914	2
schrift: Am Neuen	126.92659759521484	223.85137939453125	8.0	59.687217712402344	2
Markt, 14467 Potsdam).	126.92659759521484	232.85137939453125	8.0	78.8008041381836	2
1990–1995 Studium der	126.92659759521484	241.85137939453125	8.0	79.5375747680664	2
Geschichts- und Sozial-	126.92659759521484	250.85137939453125	8.0	74.86881256103516	2
wissenschaften an der	126.92659759521484	259.85137939453125	8.0	70.89598846435547	2
Humboldt-Universität zu	126.92659759521484	268.85137939453125	8.0	80.6488265991211	2
Berlin, 1999/2000 wis-	126.92659759521484	277.85137939453125	8.0	76.4520034790039	2
senschaftlicher Mitarbei-	126.92659759521484	286.85137939453125	8.0	79.36478424072266	2
ter am Lehrstuhl für	126.92659759521484	295.85137939453125	8.0	65.24398040771484	2
Wirtschafts- und Sozialgeschichte der Europa-Uni-	37.85060119628906	304.85137939453125	8.0	162.6600341796875	2
versität Viadrina, Frankfurt (Oder), 2000 Gastwis-	37.85060119628906	313.85137939453125	8.0	163.77120971679688	2
senschaftler am ZZF, Arbeit am Projekt „Fremde	37.85060119628906	322.85137939453125	8.0	158.71360778808594	2
und Fremd-Sein in der DDR“, 2000/01 Promotion	37.85060119628906	331.85137939453125	8.0	164.4672088623047	2
an der Europa-Universität Viadrina, 2001 Fellow am	37.85060119628906	340.85137939453125	8.0	170.20401000976562	2
Deutschen Historischen Institut in Washington/D. C.	37.85060119628906	349.85137939453125	8.0	171.47520446777344	2
I. Einführung	37.85049819946289	381.1171569824219	11.0	59.48250198364258	3
Abstract	222.102294921875	179.02056884765625	10.0	35.760009765625	4
There is a basic antagonism between the	222.102294921875	201.45516967773438	9.0	145.39590454101562	5
exclusive norms of the European nation-	222.102294921875	211.455078125	9.0	145.4012451171875	5
state and the much broader norms of	222.102294921875	221.45498657226562	9.0	145.39767456054688	5
the universal human rights, an antago-	222.102294921875	231.45489501953125	9.0	145.39947509765625	5
nism which is as old as the modern Euro-	222.102294921875	241.45480346679688	9.0	145.40484619140625	5
pean societies themselves. This conflict	222.102294921875	251.4547119140625	9.0	145.409423828125	5
can be exemplified by the issue of the	222.102294921875	261.4546203613281	9.0	145.4085693359375	5
transnational migration in general, mo-	222.102294921875	271.45452880859375	9.0	145.42919921875	5
re so by the issue of political refugees in	222.102294921875	281.4544372558594	9.0	145.40585327148438	5
particular. The topic of this article is the	222.102294921875	291.454345703125	9.0	145.39495849609375	5
quest for system-specific ways of dealing	222.102294921875	301.4542541503906	9.0	145.39047241210938	5
with the problem which both German	222.102294921875	311.45416259765625	9.0	145.40579223632812	5
states underwent in the light of the ca-	222.102294921875	321.4540710449219	9.0	145.3905029296875	5
tastrophe of the National Socialist rule	222.102294921875	331.4539794921875	9.0	145.44271850585938	5
and under the specific conditions of the	222.102294921875	341.4538879394531	9.0	145.41033935546875	5
cold war.	222.102294921875	351.45379638671875	9.0	33.10829162597656	5
Die nationalstaatlich verfassten europäischen Gesellschaften der Neuzeit – und,	37.85049819946289	405.0963134765625	10.300003051757812	329.67516708374023	6
unter anderen Bedingungen, auch die nordamerikanischen – sind im Zusam-	37.85049819946289	416.89599609375	10.300003051757812	329.667049407959	6
menhang mit einer spezifischen Regelung des Verhältnisses von Fremdem und	37.85049819946289	428.6956787109375	10.300003051757812	329.65359115600586	6
Eigenem entstanden: Externalisierung der Fremdheitsverhältnisse bei gleichzei-	37.85049819946289	440.495361328125	10.300003051757812	329.70302963256836	6
tiger, möglichst weitgehender innerer Homogenisierung. Dies gilt sowohl für	37.85049819946289	452.2950439453125	10.300003051757812	329.706111907959	6
den Typus der Nation als Abstammungsgemeinschaft als auch für die Nation als	37.85049819946289	464.0947265625	10.300003051757812	329.62475204467773	6
Gemeinschaft von Staatsbürgern. Wie immer die Zugehörigkeit zur Nation be-	37.85049819946289	475.8944091796875	10.300003051757812	329.6720848083496	6
stimmt wurde und wird: Es geht um Zugehörigkeit und Abgrenzung gegenüber	37.85049819946289	487.694091796875	10.300003051757812	329.67824935913086	6
den Anderen.1 Auf diesem Wege vermochten die „westlichen“ Gesellschaften	37.85049819946289	498.8697509765625	10.926528930664062	329.6773338317871	6
dem scheinbar uferlosen Differenzierungs- und Fragmentierungsprozess in der	37.85057067871094	511.29595947265625	10.300003051757812	329.6648406982422	6
„Moderne“ ein kollektives Identitätsangebot entgegenzustellen, welches als ab-	37.85057067871094	523.0956420898438	10.300003051757812	329.7369842529297	6
1	37.85049819946289	559.727783203125	9.0	4.797000885009766	7
Vgl. <ref>Ernest Gellner, Nationalismus und Moderne, Berlin 1991.</ref>	55.70829772949219	559.727783203125	9.0	226.28248596191406	8
Totalitarismus und Demokratie, 2 (2005), 273–288, ISSN 1612–9008	37.85049819946289	590.0592041015625	7.5	213.92621994018555	9
© Vandenhoeck & Ruprecht 2005	37.85049819946289	598.0594482421875	7.5	104.20574569702148	9
274	71.86609649658203	28.971923828125	10.29998779296875	16.469696044921875	10
Aufsätze / Articles	105.88189697265625	30.00830078125	9.0	67.210205078125	11
grenzender und auch ausgrenzender Integrationsmodus seinen Niederschlag in	71.86609649658203	57.3187255859375	10.29998779296875	329.65660858154297	12
staats-, sozial- und kulturpolitischen Regelwerken fand.2	71.86609649658203	68.4921875	10.92620849609375	233.31722259521484	12
Die Normen des Nationalstaates stehen jedoch in latenter Spannung zu den	83.66670227050781	80.918701171875	10.29998779296875	317.8477325439453	12
damit historisch untrennbar verbundenen Normen der allgemeinen Menschen-	71.8659896850586	92.7183837890625	10.29998779296875	329.6618423461914	12
rechte. Dieses konfliktgeladene Verhältnis offenbart sich auf dem Feld der trans-	71.8659896850586	104.51806640625	10.29998779296875	329.7152786254883	12
nationalen Migration, besonders aber am Problem politischer Flüchtlinge.	71.8659896850586	116.3177490234375	10.29998779296875	329.65454864501953	12
Schon in der Französischen Revolution, in der die Exklusivität des modernen	71.8659896850586	128.117431640625	10.29998779296875	329.67102813720703	12
Nationalismus und die proklamierte Universalität der Menschenrechte koexis-	71.8659896850586	139.9171142578125	10.29998779296875	329.6648941040039	12
tieren, wurde dieser Komplex im Zusammenhang mit der Gestaltung eines sä-	71.8659896850586	151.716796875	10.29998779296875	329.6432571411133	12
kularen Asylrechts in der republikanischen Verfassung verhandelt.3	71.8659896850586	162.89208984375	10.92437744140625	278.9363479614258	12
So war das „lange 19. Jahrhundert“ davon geprägt, dass die jungen Nationen	83.66670227050781	175.31869506835938	10.29998779296875	317.89720153808594	12
des „Westens“ eine scharfe Trennung zwischen innerer Liberalisierung und äu-	71.8659896850586	187.11837768554688	10.29998779296875	329.6917495727539	12
ßeren nationalstaatlichen Machtinteressen vollzogen.4 Erst nach der „Urkata-	71.8659896850586	198.29208374023438	10.926605224609375	329.6645278930664	12
strophe“ des Ersten Weltkrieges wurde die Flüchtlingsfrage Bestandteil der in-	71.86660766601562	210.7183837890625	10.29998779296875	329.6865539550781	12
ternationalen politischen Agenda, indem sich der Völkerbund darum bemühte,	71.86660766601562	222.51806640625	10.29998779296875	329.6855773925781	12
ein grenzüberschreitendes Schutz- und Hilfssystem für die Flüchtlinge zu entwi-	71.86660766601562	234.3177490234375	10.29998779296875	329.6453552246094	12
ckeln.5 Allerdings scheiterte dieses Anliegen, wie die gesamte Nachkriegsord-	71.86660766601562	245.4920654296875	10.926727294921875	329.7084045410156	12
nung der Pariser Vorortverträge, an der darin enthaltenen und weiterhin auch	71.86579132080078	257.9184875488281	10.29998779296875	329.6947555541992	12
für Deutschland nachweisbaren Dominanz nationalstaatlicher Machtinteressen	71.86579132080078	269.7181701660156	10.29998779296875	329.60826873779297	12
und ging schließlich im Feuer des Zweiten Weltkrieges unter.6 Zu dessen Folgen	71.86579132080078	280.89208984375	10.92669677734375	329.67198944091797	12
gehörten erneut gigantische Flüchtlingsströme in Europa.7 Ergebnis dieser Mas-	71.86563110351562	292.6921691894531	10.926605224609375	329.6650085449219	12
senmigrationen war, dass die Bevölkerung der europäischen Staaten in einem	71.86573791503906	305.11846923828125	10.29998779296875	329.71531677246094	12
Ausmaß homogenisiert wurde, wie nie zuvor und nie wieder danach. Diese be-	71.86573791503906	316.91815185546875	10.29998779296875	329.6566925048828	12
sondere Ausgangssituation wurde allerdings in beiden deutschen Staaten als der	71.86573791503906	328.71783447265625	10.29998779296875	329.63710021972656	12
eigentliche nationale Normalfall betrachtet, was erhebliche Konsequenzen für	71.86573791503906	340.51751708984375	10.29998779296875	329.6864776611328	12
die Behandlung von Migranten im Allgemeinen und politischen Flüchtlingen	71.86573791503906	352.31719970703125	10.29998779296875	329.6123504638672	12
bzw. Asylsuchenden im Besonderen haben sollte.8	71.86573791503906	363.4920654296875	10.9248046875	207.69679260253906	12
2	71.86609649658203	423.4639587402344	9.0	4.7969970703125	13
3	71.8660888671875	442.4647521972656	9.0	4.7969970703125	14
4	71.8660888671875	461.4655456542969	9.0	4.7969970703125	15
5	71.8660888671875	480.4663391113281	9.0	4.7969970703125	16
6	71.8660888671875	508.967529296875	9.0	4.7969970703125	17
7	71.8660888671875	527.9683227539062	9.000007629394531	4.7969970703125	18
8	71.8660888671875	556.4695434570312	9.0	4.7969970703125	19
Vgl. <ref>Benedict Anderson, Die Erfindung der Nation. Zur Karriere eines folgenreichen	89.72479248046875	423.4639587402344	9.0	311.8346862792969	20
Konzepts, Berlin 1998.</ref>	89.72479248046875	432.96435546875	9.0	83.86650085449219	20
